Device:,<Collapsible Water Gun Stand>,,,
Version:, V<1.0.0>,,,
Last Updated:,<April 2025>,,,
,,Details,Cost,Link
ID,Electric Shark Water Gun,Walmart,$10 ,https://www.walmart.com/ip/Tcovle-Electric-Shark-Water-Blaster-Super-Squirter-Fast-Fill-33-ft-Long-Range-Soaker-Toys-Summer-Swimming-Pool-Beach-Party-Backyard-Outdoor-Fun-Gift/5646402785?classType=VARIANT
,Shipping,Walmart,$6.99 ,
,,,,
,3.5 mm mono jack and nut,Approximate ,$6 ,
,,,,
,Copper Wire,Approximate,$2 ,
,,,,
,3D Printed Stand,"240 grams of filament, $20/kg",$4.80 ,
,,,,
,,Total cost Approximate,$30 ,
